0.93,0.93,6.0024
0.42,0.5,8.7389
0.76,0.22,6.2587
0.02,0.17,4.2593
0.29,0.74,7.978
0.91,0.81,5.9359
0.13,0.3,5.2771
0.76,0.21,6.3304
0.69,0.08,6.9856
0.71,0.52,7.4759
0.12,0.86,6.2691
0.93,0.58,5.3513
0.51,0.87,9.7747
0.96,0.7,5.454
0.3,0.72,8.1039
0.49,0.98,9.9842
0.93,0.99,6.2423
0.27,0.66,7.5078
0.91,0.5,5.3887
0.58,0.64,8.974
0.36,0.71,8.7041
0.38,0.84,9.1222
0.49,0.22,8.4064
0.26,0.73,7.689
0.31,0.61,7.9369
0.74,0.76,7.6003
0.98,0.33,4.6556
0.8,0.27,5.9568
0.37,0.42,8.2307
0.43,0.46,8.7729
0.99,0.99,5.9525
0.02,0.64,5.3792
0.45,0.9,9.6603
0.72,0.32,7.0682
1,0.35,4.7192
0.12,0.35,5.2649
0.43,0.08,7.961
0.14,0.05,4.8673
0.82,0.17,5.5481
0.05,0.65,5.4135
0.58,0.2,8.1268
0.1,0.44,5.2102
0.63,0.45,8.3146
0.58,0.05,7.8268
0.57,0.97,9.6996
0.66,0.43,7.9555
0.58,0.25,8.2817
0.61,0.08,7.7833
0.1,0.5,5.507
0,0.47,4.9121
0.72,0.41,7.1695
0.96,0.86,5.7584
0.07,0.18,4.5077
0.06,0.12,4.3378
0.01,0.8,5.5608
0.37,0.66,8.6977
0.22,0.35,6.2625
0.36,0.02,7.3374
0.46,0.44,8.8173
0.42,0.1,7.9137
0.49,0.97,9.9137
0.02,0.06,4.189
0.16,0.33,5.5292
0.88,0.3,5.1377
0.2,0.35,6.1314
0.46,0.26,8.4668
0.9,0.51,5.4496
0.91,0.75,5.7894
0.66,0.41,7.8868
0.77,0.35,6.3366
0.34,0.64,8.3726
0.61,0.94,9.4107
0.05,0.75,5.6167
0.53,0.84,9.6752
0.32,0.62,8.0177
0.45,0.08,8.0853
0.19,0.28,5.8479
0.59,0.02,7.6754
0.83,0.7,6.3557
0.48,0.84,9.6411
0.96,0.01,4.0231
0.73,0.64,7.5474
0.43,0.45,8.6975
0.27,0.3,6.7936
0.72,0.33,6.996
0.24,0.89,7.6774
0.77,0.78,7.2931
0.52,0.77,9.5864
0.23,0.32,6.4716
0.33,0.79,8.5177
0.19,0.68,6.5587
0.16,0.2,5.2695
0.1,0.43,5.2453
0.75,0.93,7.8168
0.9,0.49,5.4125
0.62,0.97,9.4607
0.12,1,6.4722
0.05,0.69,5.4981
0.26,0.37,6.734
0.23,0.04,5.8118
0.48,0.69,9.3923
0.93,0.57,5.3219
0.94,0.71,5.5599
0.86,0.59,5.918
0.81,0.85,6.9132
0.88,0.59,5.7665
0.19,0.75,6.7308
0.54,0.87,9.7078
